Title,RottenTomatoesCritics,RottenTomatoesAudience
Semi-Pro,0.21,0.41
Superhero Movie,0.16,0.36
Nim's Island,0.51,0.49
Max Payne,0.16,0.36
No Country for Old Men,0.95,0.84
Atonement,0.83,0.79
Juno,0.94,0.89
Michael Clayton,0.9,0.72
There Will Be Blood,0.91,0.84
The Hills Have Eyes 2,0.11,0.5
Mr. Brooks,0.55,0.75
Spider-Man 3,0.63,0.54
Aliens Vs. Predator - Requiem,0.12,0.37
Bridge to Terabithia,0.84,0.71
The Messengers,0.12,0.48
Dead Silence,0.2,0.57
Amazing Grace,0.7,0.84
BRATZ,0.07,0.51
The Great Debaters,0.69,0.86
The Mist,0.74,0.64
Shooter,0.48,0.82
Becoming Jane,0.57,0.74
Primeval,0.19,0.35
Death Sentence,0.2,0.62
The Departed,0.93,0.92
Babel,0.69,0.76
Letters from Iwo Jima,0.91,0.85
Little Miss Sunshine,0.91,0.9
The Queen,0.97,0.74
The Grudge 2,0.1,0.57
The Benchwarmers,0.11,0.71
ATL,0.63,0.81
The Texas Chainsaw Massacre: The Beginning,0.12,0.64
Ultraviolet,0.09,0.42
An American Haunting,0.12,0.47
Miami Vice,0.47,0.48
Curious George,0.69,0.65
How To Eat Fried Worms,0.58,0.5
Invincible,0.71,0.74
The Wicker Man,0.15,0.27
Flags of Our Fathers,0.73,0.7
Eight Below,0.72,0.8
16 Blocks,0.55,0.6
John Tucker Must Die,0.25,0.74
Crash,0.76,0
Brokeback Mountain,0.87,0.77
Capote,0.9,0.73
"Good Night, and Good Luck",0.93,0.73
Munich,0.78,0.78
Hitch,0.69,0.65
Two for the Money,0.21,0.5
Cry Wolf,0.23,0.56
The Legend of Zorro,0.26,0.61
Wedding Crashers,0.75,0.7
The Ring Two,0.2,0.54
Just Friends,0.42,0.73
The Gospel,0.32,0.76
Serenity,0.82,0.89
Lords of Dogtown,0.55,0.8
Herbie: Fully Loaded,0.42,0.54
Dark Water,0.45,0.37
The Amityville Horror,0.24,0.64
Wolf Creek,0.53,0.49
Chicken Little,0.36,0.56
Million Dollar Baby,0.92,0.87
The Aviator,0.87,0.73
Finding Neverland,0.83,0.84
Ray,0.81,0.87
Sideways,0.96,0.77
Shaun of the Dead,0.91,0.91
Mean Girls,0.83,0.66
Blade: Trinity,0.26,0.7
The Girl Next Door,0.55,0.71
Open Water,0.72,0.32
Soul Plane,0.18,0.58
The Whole Ten Yards,0.04,0.49
Shark Tale,0.36,0.59
The Terminal,0.6,0.72
The Chronicles of Riddick,0.29,0.73
Dirty Dancing: Havana Nights,0.22,0.71
Taxi,0.1,0.6
Catch that Kid,0.11,0.53
Along Came Polly,0.25,0.54
I Heart Huckabees,0.62,0.75
The Lord of the Rings: The Return of the King,0.94,0.83
Lost in Translation,0.95,0.84
Master and Commander: The Far Side of the World ,0.85,0.75
Mystic River,0.87,0.86
Seabiscuit,0.77,0.74
Bruce Almighty,0.49,0.61
The Triplets of Belleville,0.94,0.88
Freaky Friday,0.88,0.6
Le Divorce,0.37,0.25
Tears of the Sun,0.34,0.72
The Matrix Reloaded,0.73,0.74
Gods and Generals,0.08,0.65
Hulk,0.62,0.34
Girl With a Pearl Earring,0.72,0.66
Bend It Like Beckham,0.85,0.69
A Mighty Wind,0.88,0.8
The Recruit,0.43,0.63
Kill Bill Vol. 1,0.85,0.76
The League of Extraordinary Gentlemen,0.17,0.54
Holes,0.77,0.72
Chicago,0.87,0.8
Gangs of New York,0.75,0.76
The Hours,0.81,0.82
The Lord of the Rings: The Two Towers,0.96,0.92
The Pianist,0.96,0.94
The Good Girl,0.81,0.53
SwimFan,0.14,0.36
Far From Heaven,0.89,0.76
The Emperor's Club,0.5,0.65
Spirited Away,0.97,0.95
Hart's War,0.6,0.51
Lilo & Stitch ,0.86,0.65
Spider-Man,0.89,0.65
Clockstoppers,0.29,0.33
Showtime,0.25,0.29
Abandon,0.17,0.36
The Country Bears,0.3,0.38
XXX,0.48,0.69
Collateral Damage,0.18,0.33
Two Weeks Notice,0.42,0.63
A Beautiful Mind,0.78,0.91
Gosford Park,0.86,0.75
In the Bedroom,0.93,0.78
The Lord of the Rings: The Fellowship of the Ring,0.92,0.92
Moulin Rouge!,0.76,0.88
Angel Eyes,0.33,0.48
Ocean's Eleven,0.82,0.76
Bread and Tulips,0.71,0.83
Max Keeble's Big Move,0.29,0.41
American Outlaws,0.14,0.67
Spy Kids,0.93,0.39
"Monsters, Inc.",0.95,0.84
Two Can Play That Game,0.43,0.81
Get Over It,0.44,0.5
